,PROPERTY_TYPE,CITY,OWNTYPE,BEDROOM_NUM,FURNISH,FACING,AGE,TOTAL_FLOOR,PRICE_SQFT,AREA,SUPERBUILTUP_SQFT,PRICE,BALCONY_NUM,FLOOR_NUM,BHK,LOCALITY,LATITUDE,LONGITUDE,LUXURY,CARPET_SQFT
7858,Residential Apartment,Hyderabad,1,2.0,2,3,1,12.0,8000.0,1300.0,1299.957459008,10400000.0,1.0,6,2,Manikonda,17.492871,78.239079,Luxury,1299.957459008
7859,Residential Apartment,Hyderabad,1,2.0,2,3,6,9.0,7499.0,1255.0,1254.964313536,941100000.0,1.0,6,2,Manikonda,17.492871,78.239079,Luxury,1254.964313536
7860,Residential Apartment,Hyderabad,1,4.0,4,2,2,18.0,13600.0,3750.0,3750.038744256,51000000.0,2.0,15,4,Manikonda,17.492871,78.239079,Luxury,3749.961255744
7861,Residential Apartment,Hyderabad,1,2.0,4,0,1,35.0,10563.0,1278.0,1277.999081792,13500000.0,1.0,18,2,Manikonda,17.548606,78.210422,Luxury,1277.999081792
7862,Residential Apartment,Hyderabad,1,3.0,2,3,1,6.0,6870.0,1601.0,1601.024032896,11000000.0,1.0,4,3,Manikonda,17.548606,78.210422,Budget,1600.975967104
7863,Residential Apartment,Hyderabad,1,3.0,2,3,1,6.0,6875.0,1600.0,1599.9476418559998,11000000.0,1.0,4,3,Manikonda,17.548606,78.210422,Luxury,1599.9476418559998
7864,Residential Apartment,Hyderabad,1,4.0,2,4,6,25.0,11522.0,3350.0,3350.0518337920003,38600000.0,2.0,16,4,Manikonda,17.548606,78.210422,Luxury,3349.9481662079997
7865,Residential Apartment,Hyderabad,1,3.0,2,3,6,9.0,8180.0,1528.0,1528.0447203840001,12500000.0,1.0,3,3,Manikonda,17.548606,78.210422,Luxury,1527.9552796159999
7866,Independent House/Villa,Secunderabad,0,3.0,1,4,3,2.0,140.0,2700.0,2700.019284736,42000.0,3.0,,,Manikonda,17.548606,78.210422,Luxury,2699.980715264
7867,Residential Land,Hyderabad,1,,0,3,0,3.0,7950.0,9000.0,9000.028402752001,79500000.0,,,,Manikonda,17.548606,78.210422,Semi-luxury,8999.971597247999
7868,Residential Apartment,Secunderabad,1,3.0,1,4,2,5.0,5722.0,1660.0,1660.010261888,9500000.0,2.0,3,3,Manikonda,17.548606,78.210422,Luxury,1659.989738112
7869,Residential Apartment,Hyderabad,1,3.0,2,4,6,5.0,5241.0,1450.0,1450.0063699840002,7600000.0,2.0,2,3,Manikonda,17.548606,78.210422,Luxury,1449.9936300159998
7870,Independent House/Villa,Hyderabad,0,4.0,4,4,2,2.0,28.0,3500.0,3499.9931056640003,100000.0,2.0,,,Manikonda,17.42169,78.21842,Luxury,3499.9931056640003
7871,Residential Apartment,Hyderabad,1,2.0,2,3,6,9.0,9516.0,1261.0,1260.99210336,12000000.0,1.0,3,2,Manikonda,17.42169,78.21842,Luxury,1260.99210336
7872,Residential Land,Secunderabad,1,,0,1,0,1.0,25000.0,1503.0,1502.964809152,417500000.0,,,,Manikonda,17.42169,78.21842,Luxury,1502.964809152
7873,Residential Apartment,Hyderabad,0,3.0,4,3,1,15.0,26.0,2109.0,2108.972964672,55000.0,1.0,6,3,Manikonda,17.42169,78.21842,Semi-luxury,2108.972964672
7874,Residential Apartment,Hyderabad,0,3.0,4,3,1,15.0,25.0,1800.0,1800.048736192,45000.0,2.0,7,3,Manikonda,17.42169,78.21842,Luxury,1799.951263808
7875,Residential Apartment,Hyderabad,0,2.0,1,1,1,5.0,29.0,1200.0,1199.960731392,35000.0,1.0,3,2,Manikonda,17.45914638,78.1333064,Semi-luxury,1199.960731392
7876,Residential Land,Hyderabad,1,,0,5,0,3.0,14500.0,1485.0,1484.9890787840002,239200000.0,,,,Manikonda,17.45914638,78.1333064,Luxury,1484.9890787840002
7877,Residential Apartment,Hyderabad,0,2.0,1,3,1,7.0,32.0,1250.0,1250.012914752,40000.0,1.0,3,2,Manikonda,17.45914638,78.1333064,Luxury,1249.987085248
7878,Residential Apartment,Hyderabad,0,2.0,4,3,6,35.0,35.0,1492.0,1491.985620544,53000.0,1.0,20,2,Manikonda,17.45914638,78.1333064,Luxury,1491.985620544
7879,Residential Apartment,Hyderabad,0,3.0,4,1,1,20.0,24.0,2050.0,2049.98673568,50000.0,1.0,7,3,Manikonda,17.45914638,78.1333064,Luxury,2049.98673568
7880,Residential Apartment,Hyderabad,1,3.0,2,3,6,12.0,8299.0,1935.0,1935.0281726080002,16100000.000000002,1.0,7,3,Manikonda,17.16954,78.47093,Budget,1934.9718273919998
7881,Residential Apartment,Hyderabad,1,2.0,2,3,6,12.0,8300.0,1330.0,1329.988769024,11100000.000000002,1.0,6,2,Manikonda,17.16954,78.47093,Budget,1329.988769024
7882,Residential Apartment,Hyderabad,0,4.0,4,3,1,2.0,36.0,4000.0,3999.9767437440005,14500000.0,2.0,2,4,Manikonda,17.16954,78.47093,Luxury,3999.9767437440005
7883,Residential Land,Hyderabad,1,,0,3,0,5.0,14400.0,240.0,240.03520192000002,345600000.0,,,,Manikonda,17.16954,78.47093,Luxury,239.96479807999998
7884,Residential Land,Hyderabad,1,,0,3,0,2.0,2800.0,6525.0,6524.974845376001,20300000.0,,,,Manikonda,17.20869,78.47603,Budget,6524.974845376001
7885,Residential Apartment,Hyderabad,1,2.0,2,0,6,9.0,5799.0,1315.0,1315.026933568,762600000.0,1.0,3,2,Manikonda,17.20869,78.47603,Luxury,1314.973066432
7886,Residential Apartment,Hyderabad,0,3.0,1,3,2,5.0,46.0,3300.0,3299.9996504319997,15500000.0,2.0,2,3,Manikonda,17.20869,78.47603,Luxury,3299.9996504319997
7887,Residential Apartment,Hyderabad,1,3.0,2,4,5,17.0,7150.0,2300.0,2300.032374272,16399999.999999998,3.0,4,3,Manikonda,17.20869,78.47603,Luxury,2299.967625728
7888,Independent House/Villa,Hyderabad,1,3.0,2,3,6,2.0,10130.0,1602.0,1601.992784832,20299999.999999996,1.0,,,Manikonda,17.20869,78.47603,Luxury,1601.992784832
7889,Residential Apartment,Hyderabad,1,2.0,2,3,5,32.0,3999.0,1375.0,1374.981914496,549900000.0,1.0,14,2,Manikonda,17.20869,78.47603,Luxury,1374.981914496
7890,Independent House/Villa,Secunderabad,1,5.0,2,3,1,3.0,118750.0,1440.0,1439.995933312,19000000.0,3.0,,,Manikonda,17.20869,78.47603,Budget,1439.995933312
7891,Residential Apartment,Secunderabad,1,2.0,2,3,1,5.0,5500.0,1245.0,1244.953876864,6600000.0,2.0,1,2,Manikonda,17.20869,78.47603,Luxury,1244.953876864
