,PROPERTY_TYPE,CITY,OWNTYPE,BEDROOM_NUM,FURNISH,FACING,AGE,TOTAL_FLOOR,PRICE_SQFT,AREA,PRICE,BALCONY_NUM,FLOOR_NUM,BHK,LOCALITY,LATITUDE,LONGITUDE,LUXURY
9682,Independent/Builder Floor,Gurgaon,1,2.0,4,8,5,4,6389.0,1090.0,696500000.0,2,2,2,Sector 92,28.412695,76.9174417,Luxury
9683,Residential Apartment,Gurgaon,1,2.0,4,3,6,18,7896.0,1300.0,10300000.0,4,7,2,Sector 70,28.393486,77.018605,Luxury
9684,Residential Apartment,Gurgaon,1,3.0,4,8,6,18,8203.0,1950.0,16000000.0,4,11,3,Sector 70,28.393486,77.018605,Luxury
9685,Independent/Builder Floor,Gurgaon,1,3.0,4,8,5,4,8800.0,1320.0,853700000.0,4,1,3,Sohna,28.288317,77.066043,Luxury
9686,Independent/Builder Floor,Gurgaon,1,3.0,4,3,5,4,7790.0,1565.0,829700000.0,4,3,3,Sohna,28.288317,77.066043,Luxury
9687,Residential Apartment,Gurgaon,1,3.0,4,3,5,4,5593.0,1428.0,798800000.0,3,1,3,Sector 92,28.412695,76.9174417,Luxury
9688,Residential Apartment,Gurgaon,1,3.0,4,2,6,14,6773.0,1845.0,12500000.0,4,9,3,Sohna,28.281936,77.057485,Luxury
9689,Residential Apartment,Gurgaon,1,3.0,4,7,6,23,9282.0,1691.0,15700000.0,4,18,4,Sector 37D,28.444091,76.967096,Luxury
9690,Residential Apartment,Gurgaon,1,3.0,4,8,6,29,8785.0,1650.0,14500000.0,4,7,4,Sector 68,28.377498,77.042358,Luxury
9691,Residential Apartment,Gurgaon,1,3.0,4,3,6,4,7689.0,1440.0,796700000.0,4,2,3,Sohna,28.288317,77.066043,Luxury
9692,Residential Apartment,Gurgaon,1,2.0,4,3,6,14,6963.0,1205.0,839100000.0,2,7,2,Sohna,28.249352,77.067276,Luxury
9693,Residential Apartment,Gurgaon,1,3.0,4,3,1,20,7137.0,3500.0,23400000.0,1,4,3,Sector 70A,28.382196,77.020381,Luxury
9694,Residential Apartment,Gurgaon,1,2.0,4,3,1,14,11120.0,1275.0,867400000.0,3,14,2,Sohna,28.286932,77.069609,Luxury
9695,Residential Apartment,Gurgaon,1,3.0,4,3,1,20,10092.0,1812.0,18300000.0,3,2,3,Sector 69,28.392974,77.031674,Luxury
9696,Residential Apartment,Gurgaon,1,3.0,4,3,5,26,15714.0,1704.0,16500000.0,4,2,3,Sector 69,28.393622,77.035359,Luxury
9697,Residential Apartment,Gurgaon,1,3.0,1,3,6,14,6680.0,1845.0,12300000.0,4,9,3,Sohna,28.281936,77.057485,Luxury
9698,Residential Apartment,Gurgaon,1,3.0,4,3,5,26,16176.0,1680.0,16500000.0,4,3,3,Sector 69,28.393622,77.035359,Luxury
9699,Residential Apartment,Gurgaon,1,2.0,4,3,1,20,9178.0,1600.0,14700000.0,3,8,2,Sector 70A,28.382196,77.020381,Luxury
9700,Independent/Builder Floor,Gurgaon,0,3.0,4,5,1,3,25.0,2200.0,55000.0,2,3,3,Sector 50,28.417831,77.052274,Luxury
9701,Residential Apartment,Gurgaon,1,2.0,4,3,6,18,10911.0,1269.0,796500000.0,3,11,2,Sohna,28.266652,77.064904,Luxury
9702,Residential Apartment,Gurgaon,1,2.0,4,3,6,18,10596.0,1457.0,899700000.0,3,10,2,Sohna,28.266652,77.064904,Luxury
9703,Residential Apartment,Gurgaon,1,2.0,4,3,6,4,9516.0,1060.0,10100000.0,3,3,2,Sector 37D,28.440761,76.972101,Luxury
9704,Residential Apartment,Gurgaon,1,3.0,4,3,6,4,11699.0,1295.0,11500000.0,3,2,3,Sector 37D,28.440761,76.972101,Luxury
9705,Residential Apartment,Gurgaon,1,3.0,4,3,6,4,9150.0,1535.0,14000000.0,4,2,3,Sector 37D,28.440761,76.972101,Luxury
9706,Residential Apartment,Gurgaon,1,2.0,4,3,6,14,9357.0,1425.0,10100000.0,3,8,2,Sohna,28.281936,77.057485,Luxury
9707,Residential Apartment,Gurgaon,1,3.0,4,3,6,14,7895.0,1845.0,14600000.0,3,6,3,Sohna,28.281936,77.057485,Luxury
9708,Independent House/Villa,Gurgaon,1,9.0,4,4,1,4,19000.0,1000.0,19000000.0,4,4,9,Sector 51,28.428074,77.0650809,Luxury
9709,Residential Apartment,Gurgaon,1,2.0,4,3,5,4,12688.0,1211.0,888200000.0,3,3,2,Sector 79,28.3574674,76.9823013,Luxury
9710,Residential Apartment,Gurgaon,1,3.0,4,3,5,4,11704.0,1556.0,11000000.0,4,3,3,Sector 79,28.3574674,76.9823013,Luxury
9711,Residential Apartment,Gurgaon,1,3.0,4,3,5,4,10745.0,1831.0,12600000.0,4,2,3,Sector 79,28.3574674,76.9823013,Luxury
9712,Residential Apartment,Gurgaon,1,3.0,4,1,1,20,7611.0,1997.0,15200000.0,3,8,3,Sector 99A,28.456241,76.953943,Luxury
9713,Residential Apartment,Gurgaon,1,3.0,4,3,1,20,7511.0,1997.0,15000000.0,3,10,3,Sector 99A,28.46252,76.951718,Luxury
9714,Residential Apartment,Gurgaon,1,2.0,4,3,1,20,7516.0,1550.0,11600000.0,3,17,2,Sector 99A,28.456241,76.953943,Luxury
9715,Residential Apartment,Gurgaon,1,2.0,4,7,1,20,9677.0,1550.0,15000000.0,3,3,2,Sector 99A,28.456241,76.953943,Luxury
9716,Residential Apartment,Gurgaon,1,3.0,4,3,5,4,11953.0,1786.0,13300000.0,4,2,3,Sector 93,28.41036,76.92754,Luxury
9717,Residential Apartment,Gurgaon,1,3.0,4,3,5,4,11815.0,1826.0,13600000.000000002,4,2,3,Sector 93,28.41036,76.92754,Luxury
9718,Residential Apartment,Gurgaon,1,2.0,4,4,1,20,7483.0,1550.0,11600000.0,3,18,2,Sector 99A,28.456241,76.953943,Luxury
9719,Residential Apartment,Gurgaon,1,3.0,4,3,6,4,10343.0,1081.0,765400000.0,3,2,3,Sector 36 Sohna,28.29722,77.06475,Luxury
