index,PROPERTY_TYPE,CITY,OWNTYPE,BEDROOM_NUM,FURNISH,FACING,AGE,TOTAL_FLOOR,PRICE_SQFT,AREA,PRICE,BALCONY_NUM,FLOOR_NUM,BHK,LOCALITY,LATITUDE,LONGITUDE,LUXURY,SWIMMING_POOL,POWER_BACKUP,CLUB_HOUSE,PARKING,ATM,GYM,LIFT,WASTE_DISPOSAL,GAS_PIPELINE,NEAR_BANK
10651,Residential Apartment,Gurgaon,1,3.0,4,3,2,18,12500.0,2293.0,22500000.0,4,11,3,Sector 57,28.424228,77.069818,Luxury,1,0,1,0,0,1,1,1,0,0
10652,Residential Apartment,Gurgaon,1,3.0,4,3,1,40,18462.0,2979.0,50000000.0,2,16,3,Sector 65,28.401137,77.064929,Luxury,1,0,1,0,1,1,1,1,1,0
10653,Independent/Builder Floor,Gurgaon,1,4.0,2,4,1,4,71666.0,3240.0,25800000.0,2,2,4,Palam Vihar,28.509472,77.05043,Luxury,0,0,0,0,0,0,0,1,0,0
10657,Independent/Builder Floor,Gurgaon,1,4.0,4,1,6,4,95000.0,2700.0,28500000.0,4,3,4,C Block Sushant Lok Phase 1,28.454279,77.085314,Luxury,0,0,0,0,0,0,0,1,1,0
10659,Residential Apartment,Gurgaon,1,3.0,4,3,6,20,13883.0,3090.0,42900000.0,4,8,3,Sector 22,28.504246,77.068649,Luxury,1,1,1,0,1,1,1,1,1,1
10660,Residential Apartment,Gurgaon,1,3.0,4,5,1,19,10000.0,1929.0,17000000.0,3,9,3,Sector 86,28.3976038,76.9427006,Luxury,0,0,0,0,0,0,1,0,0,0
10661,Independent/Builder Floor,Gurgaon,1,4.0,4,5,1,4,10454.0,2200.0,23000000.0,4,2,4,Sector 52,28.4354721,77.0823482,Luxury,0,0,0,0,0,0,0,1,0,0
10662,Residential Apartment,Gurgaon,1,3.0,2,5,5,19,6753.0,1762.0,11900000.0,4,6,3,Sector 103,28.488289,76.985599,Luxury,1,1,1,0,1,1,1,1,0,1
10663,Independent/Builder Floor,Gurgaon,1,4.0,4,3,1,4,13541.0,2400.0,32500000.0,4,2,4,Sector 47,28.4266134,77.0545575,Luxury,0,0,0,0,0,0,0,1,0,0
10664,Independent/Builder Floor,Gurgaon,1,4.0,4,5,1,4,12500.0,2800.0,35000000.0,4,4,4,Sector 47,28.4266134,77.0545575,Luxury,0,0,0,0,0,0,0,1,0,0
10665,Residential Apartment,Gurgaon,1,3.0,1,5,5,32,17200.0,2122.0,36500000.0,3,1,3,Sector 62,28.4067756,77.0823482,Luxury,1,0,1,0,1,1,1,1,1,1
10666,Independent/Builder Floor,Gurgaon,1,4.0,4,5,1,4,13181.0,2200.0,29000000.0,4,4,4,Sector 52,28.4354721,77.0823482,Luxury,0,0,0,0,0,0,0,1,0,0
10667,Residential Apartment,Gurgaon,1,4.0,4,4,1,29,12883.0,2872.0,37000000.0,4,8,4,Sector 81,28.3866865,76.9484624,Luxury,0,0,0,0,0,0,1,0,0,0
10668,Independent/Builder Floor,Gurgaon,1,3.0,4,3,1,3,12068.0,1450.0,17500000.0,2,0,3,Sector 52,28.4354721,77.0823482,Luxury,0,0,0,0,0,0,0,0,1,0
10669,Independent/Builder Floor,Gurgaon,1,4.0,4,5,1,4,11000.0,3000.0,33000000.0,4,3,4,Sector 45,28.4439933,77.06652,Luxury,0,0,0,0,0,0,0,1,0,0
10670,Independent/Builder Floor,Gurgaon,1,4.0,4,5,1,4,14285.0,3500.0,50000000.0,4,4,4,Sector 45,28.4439933,77.06652,Luxury,0,0,0,0,0,0,0,1,0,0
10671,Independent/Builder Floor,Gurgaon,1,4.0,4,5,1,4,12857.0,3500.0,45000000.0,4,1,4,Sector 45,28.4439933,77.06652,Luxury,0,0,0,0,0,0,0,1,1,0
10672,Residential Apartment,Gurgaon,1,3.0,1,3,5,32,13181.0,2200.0,29000000.0,3,16,3,Sector 76,28.393738,76.9916675,Luxury,1,0,1,0,1,1,1,1,1,1
10673,Residential Apartment,Gurgaon,1,3.0,1,3,5,31,13204.0,2200.0,29000000.0,3,11,3,Sector 76,28.393738,76.9916675,Luxury,1,0,1,0,1,1,1,1,1,1
10674,Residential Apartment,Gurgaon,1,3.0,4,5,1,14,8047.0,2361.0,19000000.0,4,2,3,Sector 107,28.514725,76.973355,Luxury,1,1,1,0,1,1,1,0,0,1
10675,Independent/Builder Floor,Gurgaon,1,3.0,4,3,1,3,66666.0,2160.0,16000000.0,3,0,3,Sushant Lok Phase 3,28.419692,77.086122,Luxury,1,0,1,0,1,1,0,1,0,0
10676,Residential Apartment,Gurgaon,1,3.0,4,5,1,29,11854.0,2092.0,26000000.0,4,12,3,Sector 81,28.3889069,76.9513279,Luxury,1,0,1,0,1,1,1,1,1,1
10677,Residential Apartment,Gurgaon,1,4.0,4,3,1,21,13405.0,2872.0,38500000.0,4,11,4,Sector 81,28.3889069,76.9513279,Luxury,1,1,1,0,1,1,1,1,0,0
10678,Residential Apartment,Gurgaon,1,4.0,4,5,5,24,18097.0,2434.0,44100000.0,4,4,4,Sector 108,28.516331087497,76.995685046165,Luxury,1,1,1,0,0,1,1,1,1,0
10679,Residential Apartment,Gurgaon,1,4.0,4,5,1,21,11029.0,3400.0,37500000.0,3,5,4,Sector 110,28.501365,77.010746,Luxury,1,1,1,0,1,1,1,1,1,1
10680,Residential Apartment,Gurgaon,1,3.0,4,5,5,18,13868.0,2230.0,28000000.0,3,8,3,Sector 15,28.4558436,77.0406147,Luxury,1,0,1,0,0,1,1,0,0,0
10681,Residential Apartment,Gurgaon,1,3.0,4,4,1,19,8553.0,1929.0,16500000.0,1,8,3,Sector 86,28.397175,76.935532,Luxury,1,1,1,0,1,1,1,1,1,0
10682,Residential Apartment,Gurgaon,1,3.0,4,5,1,21,10065.0,2285.0,23000000.0,4,12,3,Sector 86,28.39332,76.945729,Luxury,1,1,1,0,0,1,1,0,1,0
10683,Residential Apartment,Gurgaon,1,3.0,4,4,1,21,9762.0,1895.0,18500000.0,4,10,3,Sector 86,28.39332,76.945729,Luxury,1,1,1,0,0,1,1,0,1,0
10684,Residential Apartment,Gurgaon,1,2.0,4,4,1,21,9121.0,1480.0,13500000.0,3,6,2,Sector 86,28.39332,76.945729,Luxury,1,1,1,0,0,1,1,1,1,0
10685,Residential Apartment,Gurgaon,1,4.0,4,5,6,19,8971.0,2675.0,24000000.0,4,6,4,Sector 79,28.356562,76.973291,Luxury,1,1,1,0,1,1,1,0,1,0
10686,Residential Apartment,Gurgaon,1,3.0,4,5,6,19,8976.0,2150.0,19300000.0,4,12,3,Sector 79,28.356562,76.973291,Luxury,1,1,1,0,1,1,1,0,1,0
10687,Residential Apartment,Gurgaon,1,3.0,2,3,1,19,8684.0,2015.0,17500000.0,4,7,3,Sector 79,28.356562,76.973291,Luxury,1,1,1,0,1,1,1,0,1,0
10688,Residential Apartment,Gurgaon,1,3.0,4,4,1,19,8536.0,2050.0,18000000.0,4,5,3,Sector 79,28.356562,76.973291,Luxury,1,0,1,0,1,1,1,1,1,0
10689,Residential Apartment,Gurgaon,1,4.0,4,5,6,40,11590.0,4400.0,51000000.0,4,2,4,Sector 72,28.407269,77.0357198,Luxury,1,1,1,0,1,1,1,1,1,1
10690,Residential Apartment,Gurgaon,1,4.0,4,4,1,21,12290.0,2864.0,35200000.0,4,6,4,Sector 81,28.3889069,76.9513279,Luxury,1,1,1,0,1,1,1,1,1,0
10691,Independent/Builder Floor,Gurgaon,1,3.0,4,3,1,3,9928.0,1400.0,13899999.999999998,2,2,3,Sector 57,28.420896,77.078727,Luxury,0,0,0,0,0,0,0,0,0,0
10692,Residential Apartment,Gurgaon,1,4.0,4,4,1,29,12395.0,2864.0,35500000.0,4,22,4,Sector 81,28.3889069,76.9513279,Luxury,1,1,1,0,1,1,1,1,1,0
10693,Residential Apartment,Gurgaon,1,3.0,4,4,1,30,11364.0,2103.0,23900000.0,4,11,3,Sector 81,28.3889069,76.9513279,Luxury,1,1,1,0,1,1,1,1,1,0
10694,Residential Apartment,Gurgaon,1,3.0,4,4,1,30,11174.0,2103.0,23500000.0,4,18,3,Sector 81,28.3889069,76.9513279,Luxury,1,1,1,0,1,1,1,1,1,0
10698,Residential Apartment,Gurgaon,1,4.0,2,0,5,33,20000.0,3395.0,70000000.0,4,28,4,Sector 59,28.4050911,77.1096829,Luxury,0,0,0,0,0,0,1,0,0,0
10699,Residential Apartment,Gurgaon,1,4.0,4,1,5,33,19653.0,2595.0,51000000.0,2,28,4,Sector 59,28.409433,77.105276,Luxury,1,1,1,0,1,1,1,1,1,0
10700,Residential Apartment,Gurgaon,1,4.0,4,0,5,33,27358.0,2650.0,72500000.0,2,25,4,Sector 59,28.409433,77.105276,Luxury,1,0,1,0,0,1,1,0,0,0
10701,Residential Apartment,Gurgaon,1,3.0,2,5,6,25,15832.0,1579.0,25000000.0,2,6,3,Sector 113,28.530129,77.026134,Luxury,0,0,0,0,0,0,1,0,0,0
10702,Independent/Builder Floor,Gurgaon,1,4.0,2,5,6,4,13333.0,1500.0,20000000.0,4,2,4,Sector 67A,28.382146,77.055471,Luxury,0,0,0,0,0,0,0,1,1,0
10703,Residential Apartment,Gurgaon,1,3.0,2,5,1,17,22551.0,2838.0,64000000.0,4,6,3,Sector 48,28.4153994,77.037736,Luxury,0,0,0,0,0,0,1,0,0,0
10704,Independent House/Villa,Gurgaon,1,3.0,4,5,5,35,25000.0,2800.0,70000000.0,4,35,3,Sector 53,28.4350568,77.1013666,Luxury,0,0,0,0,0,0,0,1,0,0
10705,Residential Apartment,Gurgaon,1,4.0,4,3,5,30,19090.0,2750.0,52500000.0,4,11,4,Sector 61,28.404158,77.099979,Luxury,1,0,1,0,0,1,1,1,1,1
10706,Residential Apartment,Gurgaon,1,3.0,4,5,5,33,19499.0,2595.0,50599999.99999999,4,30,3,Sector 59,28.409433,77.105276,Luxury,1,1,1,0,0,1,1,0,1,0
10710,Residential Apartment,Gurgaon,1,3.0,4,3,1,18,17813.0,2470.0,44000000.0,3,15,3,Sector 47,28.42775,77.05034,Luxury,1,1,1,0,0,1,1,1,1,1
10711,Residential Apartment,Gurgaon,1,4.0,4,4,1,14,12104.0,2685.0,32500000.0,4,10,4,Sector 67,28.38922,77.0551,Luxury,1,1,1,0,1,1,1,1,1,1
10714,Residential Apartment,Gurgaon,1,4.0,4,4,6,30,20689.0,3625.0,75000000.0,3,19,4,Sector 59,28.409463,77.108186,Luxury,1,0,1,0,0,1,1,1,1,1
10715,Residential Apartment,Gurgaon,1,3.0,4,3,6,30,19765.0,2985.0,59000000.0,4,9,3,Sector 59,28.409463,77.108186,Luxury,1,0,1,0,0,1,1,0,1,0
10716,Residential Apartment,Gurgaon,1,4.0,4,4,2,14,13211.0,2195.0,29000000.0,4,11,4,Sector 48,28.416629,77.038982,Luxury,1,0,1,0,1,1,1,1,1,1
10717,Residential Apartment,Gurgaon,1,3.0,4,5,5,48,13509.0,1932.0,26100000.0,2,22,3,Sector 65,28.40614,77.06529,Luxury,1,1,1,0,0,1,1,0,1,0
10718,Residential Apartment,Gurgaon,1,3.0,4,3,1,40,17994.0,2962.0,53300000.0,4,22,3,Sector 65,28.401137,77.064929,Luxury,1,1,1,0,1,1,1,1,1,0
10719,Independent/Builder Floor,Gurgaon,1,4.0,4,5,6,4,15714.0,4500.0,55000000.0,2,1,4,DLF Phase 1,28.4754909,77.1032095,Luxury,0,0,0,0,0,0,1,1,0,0
10720,Independent/Builder Floor,Gurgaon,1,5.0,4,2,6,4,20555.0,4500.0,92500000.0,3,4,5,DLF Phase 2,28.4889627,77.0866646,Luxury,0,0,0,0,0,0,0,0,0,0
10721,Independent/Builder Floor,Gurgaon,1,3.0,4,1,1,2,93750.0,3600.0,37500000.0,3,1,3,DLF Phase 2,28.4889627,77.0866646,Luxury,0,0,0,0,0,0,1,0,0,0
10723,Residential Apartment,Gurgaon,1,2.0,1,2,1,14,5867.0,1534.0,9000000.0,3,8,2,Sector 107,28.514725,76.973355,Luxury,1,0,1,0,1,1,1,0,0,0
10724,Independent/Builder Floor,Gurgaon,1,4.0,4,5,2,2,8866.0,4500.0,39900000.0,2,0,4,Nirvana Country,28.409065,77.059642,Luxury,1,0,1,0,1,1,0,1,1,1
10725,Residential Apartment,Gurgaon,1,4.0,4,6,2,14,11959.0,2383.0,28500000.0,4,5,4,Sector 49,28.403301,77.045624,Luxury,1,1,1,0,1,1,1,1,1,1
10726,Residential Apartment,Gurgaon,1,4.0,4,5,2,18,14477.0,2939.0,42600000.0,4,12,4,Nirvana Country,28.414817,77.065124,Luxury,1,1,1,0,1,1,1,1,1,1
10727,Residential Apartment,Gurgaon,1,4.0,4,0,6,3,100000.0,3600.0,40000000.0,3,1,4,Sector 65,28.407289,77.069686,Luxury,1,1,1,0,1,1,1,1,1,1
10728,Residential Apartment,Gurgaon,1,4.0,4,5,1,13,7625.0,2754.0,21000000.0,4,11,4,Sector 49,28.4091958,77.0478112,Luxury,1,0,1,0,1,1,1,1,1,0
10729,Residential Apartment,Gurgaon,1,3.0,4,5,1,13,9870.0,1773.0,17500000.0,4,7,3,Sector 49,28.4091958,77.0478112,Luxury,1,0,1,0,1,1,1,1,0,0
10730,Residential Apartment,Gurgaon,1,3.0,4,0,6,18,9230.0,1950.0,18000000.0,3,11,3,Sector 70,28.393486,77.018605,Luxury,1,1,1,0,1,1,1,0,0,0
10731,Residential Apartment,Gurgaon,1,3.0,4,0,2,18,11764.0,1785.0,22500000.0,3,4,3,Sector 59,28.401575,77.10647,Luxury,0,0,0,0,0,0,1,0,0,0
10733,Residential Apartment,Gurgaon,1,3.0,4,3,5,23,13395.0,1875.0,18700000.0,2,9,3,Sector 103,28.4891378,76.9844677,Luxury,1,0,1,0,1,1,1,0,0,0
10734,Residential Apartment,Gurgaon,1,3.0,4,3,6,20,13442.0,1997.0,16399999.999999998,3,9,3,Sector 99A,28.46252,76.951718,Luxury,1,0,1,0,1,1,1,0,0,0
10736,Residential Apartment,Gurgaon,1,4.0,4,0,5,32,10965.0,2599.0,28500000.0,4,12,4,Sector 85,28.4085579,76.951783,Luxury,1,1,1,0,0,1,1,0,0,0
10738,Residential Apartment,Gurgaon,1,3.0,2,3,1,27,12008.0,2290.0,27500000.0,3,8,3,Sector 104,28.47844,76.98611,Luxury,1,0,1,0,1,1,1,1,1,0
10739,Independent House/Villa,Gurgaon,1,3.0,4,5,1,1,85820.0,1206.0,11500000.0,1,1,3,Rattan Garden,28.46805,77.02059,Luxury,0,0,0,0,0,0,0,0,0,0
10740,Independent/Builder Floor,Gurgaon,1,3.0,4,1,6,4,9136.0,1390.0,12700000.0,2,3,3,Sector 48,28.412173,77.0361,Luxury,0,0,1,0,1,0,1,1,1,0
10741,Independent/Builder Floor,Gurgaon,1,3.0,4,5,6,4,8918.0,1850.0,16500000.0,2,2,3,Sector 4,28.4741603,77.0075055,Luxury,0,0,0,0,0,0,0,0,0,0
10742,Residential Apartment,Gurgaon,1,3.0,0,5,5,24,5798.0,2035.0,11800000.0,3,14,3,Sector 37C,28.451194,76.989289,Luxury,0,0,0,0,0,0,1,0,0,0
10743,Residential Apartment,Gurgaon,1,5.0,4,3,5,33,13968.0,4095.0,57200000.0,4,15,5,Sector 106,28.5027363,77.0060603,Luxury,1,0,1,0,1,1,1,1,1,0
10744,Residential Apartment,Gurgaon,1,3.0,2,5,6,24,6005.0,1815.0,10900000.0,3,11,3,Sector 37C,28.451194,76.989289,Luxury,0,0,0,0,0,0,1,0,0,0
10745,Residential Apartment,Gurgaon,1,3.0,2,4,6,23,9757.0,1691.0,16500000.0,3,8,3,Sector 37D,28.455542686641,76.9733897433,Luxury,1,1,1,0,1,1,1,1,0,0
10746,Residential Apartment,Gurgaon,1,4.0,4,5,6,12,14000.0,2500.0,35000000.0,3,6,4,Sector 66,28.4014659,77.0531172,Luxury,1,1,1,0,1,1,1,1,1,0
