,PROPERTY_TYPE,CITY,OWNTYPE,BEDROOM_NUM,FURNISH,FACING,AGE,TOTAL_FLOOR,FEATURES,PRICE_SQFT,AREA,SUPERBUILTUP_SQFT,PRICE,BALCONY_NUM,FLOOR_NUM,BHK,LOCALITY,LATITUDE,LONGITUDE,LUXURY,CARPET_SQFT,SWIMMING_POOL,POWER_BACKUP,CLUB_HOUSE,PARKING,PARKING,ATM,GYM,LIFT,WASTE_DISPOSAL,GAS_PIPELINE,NEAR_BANK
79,Residential Apartment,Hyderabad,1,2.0,1,1,3,3.0,23,5647.0,850.0,850.026004288,4800000.0,1.0,1,2,Manikonda,17.40665,78.396824,Budget,849.973995712,0,0,0,0,0,0,0,0,0,0,0
80,Independent House/Villa,Hyderabad,1,12.0,2,2,2,3.0,"24,5,8,40,41,42",25000.0,2000.0,2000.042191424,50000000.0,3.0,,,Manikonda,17.39291,78.33501,Luxury,1999.957808576,0,0,0,0,0,0,0,0,0,0,0
81,Residential Apartment,Hyderabad,1,2.0,4,3,6,8.0,"44,33,23,12,24,26,17,29,19,1,3,5,6,8,9,20,42,31,21",7172.0,1185.0,1184.998895936,8500000.0,1.0,4,2,Manikonda,17.542319,78.226934,Luxury,1184.998895936,1,0,1,0,1,1,1,1,0,1,0
82,Residential Apartment,Hyderabad,1,2.0,4,5,3,4.0,"5,17,6,21",12666.0,750.0,750.0292766720002,9500000.0,2.0,2,2,Manikonda,17.478433,78.392116,Luxury,749.9707233279998,0,0,0,0,1,0,0,1,0,0,0
83,Residential Land,Hyderabad,1,,0,8,0,1.0,23,12500.0,3303.0,3303.0135453440002,458800000.0,,,,Manikonda,17.583578247277302,78.1082316073572,Budget,3302.9864546559998,0,0,0,0,0,0,0,0,0,0,0
84,Residential Apartment,Secunderabad,1,2.0,2,3,3,4.0,"44,5,40,41,21",4225.0,1420.0,1419.9750599679999,6000000.0,3.0,3,2,Manikonda,17.584501,78.478388,Semi-luxury,1419.9750599679999,0,0,0,0,0,0,0,1,0,0,0
85,Residential Apartment,Hyderabad,1,3.0,4,3,2,15.0,"33,23,12,24,47,17,19,1,3,5,6,9,41,20,31,21,43",8403.0,1800.0,1800.048736192,13000000.0,2.0,3,3,Manikonda,17.250826,78.897132,Luxury,1799.951263808,1,0,1,0,1,1,1,1,0,0,0
86,Residential Apartment,Hyderabad,1,3.0,0,3,5,5.0,"47,26,5,40,41,42,21",6500.0,1815.0,1815.010571648,11800000.0,2.0,3,3,Manikonda,17.5090182,78.3001801,Luxury,1814.989428352,0,0,0,0,0,0,0,1,0,0,0
87,Independent House/Villa,Hyderabad,1,3.0,2,7,3,1.0,N,80000.0,375.0,375.0146383360001,30000000.0,0.0,,,Manikonda,17.524728,78.640282,Budget,374.9853616639999,0,0,0,0,0,0,0,0,0,0,0
88,Residential Apartment,Hyderabad,1,2.0,1,3,3,4.0,"24,9,40,41,42",4900.0,1000.0,999.9672761600001,4900000.0,2.0,2,2,Manikonda,17.45227,78.299843,Luxury,999.9672761600001,0,0,0,0,0,1,0,0,0,0,0
89,Residential Land,Hyderabad,1,,0,8,0,3.0,"23,24,26,5",16000.0,1125.0,1125.0439150079999,2000000.0,,,,Manikonda,17.416278,78.579471,Luxury,1124.9560849920001,0,0,0,0,0,0,0,0,0,0,0
90,Residential Apartment,Hyderabad,1,2.0,4,8,2,5.0,"23,12,24,26,17,19,3,5,6,8,9,41,20,21",6372.0,1020.0,1019.988149504,7000000.0,2.0,1,2,Manikonda,17.3566145,78.5105746,Luxury,1019.988149504,0,0,1,0,1,1,1,1,0,0,0
91,Independent House/Villa,Hyderabad,1,6.0,4,3,2,3.0,"24,25",5476.0,4200.0,4199.970198976,25000000.0,2.0,,,Manikonda,17.4985957,78.5731826,Semi-luxury,4199.970198976,0,0,0,0,0,0,0,0,1,0,0
92,Independent House/Villa,Hyderabad,1,1.0,0,0,2,1.0,N,75000.0,540.0,540.025384768,4500000.0,1.0,,,Manikonda,17.4556528,78.3667777,Budget,539.974615232,0,0,0,0,0,0,0,0,0,0,0
93,Residential Apartment,Secunderabad,1,2.0,2,0,3,4.0,17,4639.0,819.0,819.0259423360001,3800000.0,1.0,1,2,Manikonda,17.40223,78.3444,Semi-luxury,818.9740576639999,0,0,0,0,0,0,0,0,0,0,0
94,Residential Apartment,Secunderabad,1,3.0,2,3,6,15.0,"44,33,23,12,24,47,25,17,28,29,19,1,3,5,6,9,40,30,41,20,42,21,43",6360.0,1525.0,1525.030825472,9700000.0,1.0,7,3,Manikonda,17.40777,78.6025,Luxury,1524.969174528,1,0,1,0,1,1,1,1,1,1,0
