PROPERTY_TYPE,OWNTYPE,BEDROOM_NUM,FACING,AGE,TOTAL_FLOOR,PRICE_SQFT,AREA,BALCONY_NUM,FLOOR_NUM,BHK,LATITUDE,LONGITUDE,LUXURY,SWIMMING_POOL,POWER_BACKUP,CLUB_HOUSE,ATM,GYM,WASTE_DISPOSAL,GAS_PIPELINE,PRICE
2.0,1,3.0,3,6,5,5000.0,1500.0,2,2,3,17.47078,78.30668,1.0,0,0,0,0,0,1,0,7900000.0
2.0,1,3.0,4,3,9,13000.0,1495.0,1,9,3,17.6197,78.082693,1.0,1,0,1,1,1,0,1,15600000.0
0.0,1,2.0,3,3,1,60606.0,1485.0,3,1,2,17.37,78.57,2.0,0,0,0,0,0,0,0,10000000.0
2.0,1,3.0,0,2,5,7575.0,1650.0,3,4,3,17.44633,78.726187,1.0,0,0,0,0,0,0,0,12500000.0
2.0,1,2.0,3,1,4,4896.0,1062.0,2,0,2,17.443855,78.250431,1.0,0,0,0,0,0,0,0,5200000.0
0.0,1,4.0,1,3,1,5703.0,2367.0,2,1,4,17.538237,78.480804,0.0,0,0,0,0,0,0,0,12500000.0
2.0,1,3.0,3,6,4,6636.0,2350.0,2,2,3,17.20869,78.47603,1.0,0,0,0,0,0,1,1,14600000.0
2.0,1,2.0,5,2,5,6372.0,1020.0,1,2,2,17.4664197,78.285342,1.0,0,0,0,1,1,1,0,6500000.0
2.0,1,3.0,4,3,5,4655.0,1611.0,2,3,3,17.4480919,78.3787508,1.0,0,0,0,0,0,0,0,7500000.0
2.0,1,2.0,1,5,10,5468.0,1280.0,2,7,2,78.48667,17.38504,1.0,1,0,1,1,1,0,0,7000000.0
2.0,1,3.0,1,3,6,7000.0,1420.0,3,1,3,78.48667,17.38504,1.0,0,0,0,1,0,0,0,99400000.0
2.0,1,2.0,0,1,10,7545.0,994.0,1,4,2,78.48667,17.38504,0.0,0,0,0,0,0,0,0,7500000.0
0.0,1,4.0,3,5,3,9773.0,3888.0,1,3,4,17.575957,78.471167,1.0,1,0,1,1,1,0,0,38000000.0
2.0,1,2.0,3,2,3,6718.0,1161.0,1,0,2,17.50107,78.59508,1.0,1,0,1,0,1,0,0,7800000.0
2.0,1,3.0,1,3,4,5478.0,1150.0,2,1,3,17.4664197,78.285342,1.0,0,0,0,0,0,0,0,6300000.0
